name,jenre,title,character,year
子安武人,アニメ,SK∞ エスケーエイト,愛抱夢(アダム),2021/01/10
子安武人,アニメ,劇場版 Fate/Grand Order(フェイト/グランドオーダー) 神聖円卓領域キャメロット 前編 Wandering; Agateram(ワンダリング・アガテラム),オジマンディアス,2020/12/05
子安武人,アニメ,神達に拾われた男,ラインバッハ,2020/10/04
子安武人,アニメ,ドラゴンクエスト ダイの大冒険(2020年版),ミストバーン,2020/10/03
子安武人,アニメ,Re:ゼロから始める異世界生活 2nd season,ロズワール・L・メイザース,2020/07/08
子安武人,アニメ,本好きの下剋上 司書になるためには手段を選んでいられません(第2部),ベンノ,2020/04/05
子安武人,アニメ,ククリレイジュ -三星堆伝奇-,ゴウシャ,2020/02/07
子安武人,アニメ,異世界かるてっと2,ロズワール,2020/01/14
子安武人,ゲーム,ジョジョの奇妙な冒険 ラストサバイバー,DIO,2019/12/18
子安武人,アニメ,Re:ゼロから始める異世界生活 氷結の絆,ロズワール・L・メイザース,2019/11/08
子安武人,アニメ,本好きの下剋上 司書になるためには手段を選んでいられません,ベンノ,2019/10/03
子安武人,アニメ,HELLO WORLD,千古恒久,2019/09/20
子安武人,アニメ,ヴァイオレット・エヴァーガーデン 外伝 -永遠と自動手記人形-,クラウディア・ホッジンズ,2019/09/06
子安武人,ゲーム,ファイアーエムブレム 風花雪月,セテス,2019/07/26
子安武人,アニメ,トランスフォーマー サイバーバース,オプティマスプライム,2019/04/27
子安武人,ゲーム,EVE rebirth terror,天城小次郎,2019/04/25
子安武人,アニメ,異世界かるてっと,ロズワール,2019/04/10
子安武人,アニメ,鬼滅の刃,手鬼,2019/04/06
子安武人,アニメ,ワンパンマン (ONE PUNCH MAN) (第2期),ギョロギョロ,2019/04/03
子安武人,アニメ,ポプテピピック TVスペシャル,ピピ美,2019/04/01
子安武人,ゲーム,JUMP FORCE(ジャンプフォース),DIO,2019/02/14
子安武人,アニメ,ぱすてるメモリーズ,岡山,2019/01/08
子安武人,アニメ,Re:ゼロから始める異世界生活 Memory Snow,ロズワール・L・メイザース,2018/10/06
子安武人,アニメ,ラディアン,グリム,2018/10/06
子安武人,アニメ,ユリシーズ ジャンヌ・ダルクと錬金の騎士,エンリル,2018/10/06
子安武人,アニメ,学園BASARA,猿飛佐助,2018/10/04
子安武人,アニメ,転生したらスライムだった件,クレイマン,2018/10/02
子安武人,アニメ,天狼 Sirius the Jaeger,カーシュナー,2018/07/12
子安武人,アニメ,アンゴルモア 元寇合戦記,劉復亨,2018/07/11
子安武人,アニメ,スーパードラゴンボールヒーローズ 監獄惑星編 プロモーションアニメ,ハーツ(究極形態・完全体),2018/06/30
子安武人,アニメ,バキ,ドイル,2018/06/25
子安武人,アニメ,ニンジャバットマン,ゴリラ・グロッド,2018/06/15
子安武人,ゲーム,超回転 寿司ストライカー The Way of Sushido,グロム,2018/06/08
子安武人,海外映画,パシフィック・リム:アップライジング,チュアン司令官,2018/04/13
子安武人,アニメ,蒼天の拳 REGENESIS,飛燕,2018/04/10
子安武人,アニメ,A.I.C.O. Incarnation,伊佐津恭介,2018/03/09
子安武人,アニメ,絵文字の国のジーン,うんちパパ,2018/02/17
子安武人,アニメ,劇場版 進撃の巨人 Season2～覚醒の咆哮～,獣の巨人,2018/01/13
子安武人,アニメ,ヴァイオレット・エヴァーガーデン,クラウディア・ホッジンズ,2018/01/11
子安武人,ゲーム,リディー&スールのアトリエ ～不思議な絵画の錬金術士～,ロジェ,2017/12/21
子安武人,ゲーム,英雄伝説 閃の軌跡Ⅲ,オリヴァルト皇子,2017/09/28
子安武人,アニメ,魔法陣グルグル(2017年版),ヒガジ,2017/07/12
子安武人,アニメ,18if,神崎カツミ,2017/07/07
子安武人,ゲーム,ファイアーエムブレム Echoes もうひとりの英雄王,セーバー,2017/04/20
子安武人,アニメ,ゼロから始める魔法の書,十三番,2017/04/10
子安武人,アニメ,恋愛暴君,魔王,2017/04/07
子安武人,アニメ,ツインエンジェルBREAK,ジョン・ガラブシ,2017/04/07
子安武人,アニメ,スタミュ -高校星歌劇-(第2期),月皇遥斗,2017/04/04
子安武人,アニメ,レゴバットマン ザ・ムービー,ジョーカー,2017/04/01
子安武人,ゲーム,Re:ゼロから始める異世界生活-DEATH OR KISS-,ロズワール・L・メイザース,2017/03/23
子安武人,ゲーム,白猫テニス,ヴィルフリート,2016/07/31
子安武人,ゲーム,Mighty No. 9,Mr.グラハム,2016/06/21
子安武人,ゲーム,ガンスリンガーストラトス3,アーロン・バロウズ,2016/05/12
子安武人,アニメ,マギ シンドバッドの冒険(TVアニメ版),バルバロッサ,2016/04/16
子安武人,アニメ,Re:ゼロから始める異世界生活,ロズワール・L・メイザース,2016/04/03
子安武人,ゲーム,ジョジョの奇妙な冒険 アイズオブヘブン,ディオ・ブランドー / DIO / ディエゴ・ブランドー,2015/12/17
子安武人,ゲーム,イグジストアーカイヴ,ヤマトガ,2015/12/17
子安武人,ゲーム,アンジェリーク ルトゥール,オリヴィエ,2015/12/17
子安武人,アニメ,櫻子さんの足下には死体が埋まっている,花房,2015/10/08
子安武人,アニメ,スタミュ -高校星歌劇-,月皇遥斗,2015/10/06
子安武人,ゲーム,Fate/Grand Order(フェイト/グランドオーダー),サーヴァント,2015/07/30
子安武人,アニメ,オーバーロード,ニグン・グリッド・ルーイン,2015/07/07
子安武人,アニメ,VENUS PROJECT -CLIMAX-,コーチ,2015/07/05
子安武人,アニメ,コードギアス 亡国のアキト 第4章 -憎しみの記憶から-,アンドレア・ファルネーゼ,2015/07/04
子安武人,アニメ,乱歩奇譚 Game of Laplace,影男,2015/07/03
子安武人,アニメ,コードギアス 亡国のアキト 第3章 -輝くもの天より堕つ-,アンドレア・ファルネーゼ,2015/05/02
